idx,phi_re,phi_im,psi_re,psi_im
288,0.224958,0.466201,-0.900631,0.434585
289,0.258945,0.448215,-0.865885,0.500243
290,0.291503,0.427756,-0.826361,0.563141
291,0.322453,0.404936,-0.782277,0.622931
292,0.351623,0.379882,-0.733876,0.679283
293,0.378853,0.352732,-0.681426,0.731887
294,0.403992,0.323635,-0.625215,0.780453
295,0.426902,0.292752,-0.565554,0.824711
296,0.447456,0.260254,-0.502772,0.864419
297,0.465541,0.226320,-0.437216,0.899357
298,0.481057,0.191136,-0.369247,0.929331
299,0.493919,0.154898,-0.299241,0.954178
300,0.504055,0.117806,-0.227583,0.973759
301,0.511409,0.080063,-0.154669,0.987966
302,0.515941,0.041878,-0.080902,0.996722
303,0.517627,0.003462,-0.006689,0.999978
304,0.516455,-0.034973,0.067562,0.997715
305,0.512434,-0.073214,0.141439,0.989947
306,0.505585,-0.111052,0.214536,0.976716
307,0.495947,-0.148277,0.286450,0.958095
308,0.483571,-0.184684,0.356782,0.934188
309,0.468527,-0.220072,0.425146,0.905125
310,0.450898,-0.254245,0.491164,0.871067
311,0.430780,-0.287015,0.554471,0.832203
312,0.408285,-0.318202,0.614719,0.788747
313,0.383537,-0.347632,0.671574,0.740937
314,0.356673,-0.375145,0.724724,0.689040
315,0.327841,-0.400587,0.773874,0.633340
316,0.297199,-0.423818,0.818754,0.574145
317,0.264918,-0.444711,0.859116,0.511782
318,0.231174,-0.463150,0.894737,0.446594
319,0.196155,-0.479033,0.925420,0.378942
320,0.160054,-0.492272,0.950997,0.309200
321,0.123069,-0.502795,0.971326,0.237751
322,0.085405,-0.510544,0.986295,0.164989
323,0.047270,-0.515475,0.995822,0.091318
324,0.008874,-0.517562,0.999853,0.017143
325,-0.029571,-0.516793,0.998367,-0.057128
326,-0.067853,-0.513172,0.991371,-0.131082
327,-0.105761,-0.506719,0.978905,-0.204314
328,-0.143084,-0.497470,0.961038,-0.276418
329,-0.179619,-0.485475,0.937866,-0.346996
330,-0.215162,-0.470802,0.909520,-0.415660
331,-0.249517,-0.453531,0.876155,-0.482030
332,-0.282496,-0.433757,0.837954,-0.545740
333,-0.313916,-0.411590,0.795130,-0.606439
334,-0.343604,-0.387151,0.747918,-0.663791
335,-0.371395,-0.360576,0.696579,-0.717480
336,-0.397137,-0.332011,0.641396,-0.767210
337,-0.420688,-0.301614,0.582673,-0.812707
338,-0.441917,-0.269552,0.520735,-0.853718
339,-0.460708,-0.236004,0.455924,-0.890019
340,-0.476956,-0.201152,0.388597,-0.921408
341,-0.490572,-0.165191,0.319125,-0.947713
342,-0.501481,-0.128318,0.247892,-0.968788
343,-0.509623,-0.090738,0.175292,-0.984517
344,-0.514953,-0.052656,0.101724,-0.994813
345,-0.517441,-0.014284,0.027594,-0.999619
346,-0.517074,0.024167,-0.046687,-0.998910
347,-0.513853,0.062485,-0.120711,-0.992688
348,-0.507797,0.100457,-0.194069,-0.980988
349,-0.498938,0.137876,-0.266356,-0.963875
350,-0.487327,0.174533,-0.337173,-0.941443
351,-0.473026,0.210228,-0.406129,-0.913816
352,-0.456115,0.244762,-0.472844,-0.881146
353,-0.436687,0.277946,-0.536950,-0.843614
354,-0.414849,0.309596,-0.598093,-0.801426
355,-0.390722,0.339537,-0.655936,-0.754817
356,-0.364439,0.367605,-0.710159,-0.704041
