x,y,psi2
-20,8.5786,0.207539
-20,8.67893,0.202569
-20,8.77926,0.202439
-20,8.8796,0.207324
-20,8.97993,0.217176
-20,9.08027,0.231729
-20,9.1806,0.250531
-20,9.28094,0.272962
-20,9.38127,0.298288
-20,9.48161,0.325696
-20,9.58194,0.354332
-20,9.68227,0.383357
-20,9.78261,0.411969
-20,9.88294,0.439443
-20,9.98328,0.465145
-20,10.0836,0.488554
-20,10.1839,0.509256
-20,10.2843,0.526951
-20,10.3846,0.541444
-20,10.4849,0.552637
-20,10.5853,0.560513
-20,10.6856,0.565122
-20,10.786,0.566579
-20,10.8863,0.565045
-20,10.9866,0.560723
-20,11.087,0.553846
-20,11.1873,0.544669
-20,11.2876,0.53347
-20,11.388,0.520537
-20,11.4883,0.506147
-20,11.5886,0.490598
-20,11.689,0.474132
-20,11.7893,0.456984
-20,11.8896,0.439377
-20,11.99,0.421482
-20,12.0903,0.403439
-20,12.1906,0.385329
-20,12.291,0.367252
-20,12.3913,0.349263
-20,12.4916,0.33136
-20,12.592,0.313614
-20,12.6923,0.296055
-20,12.7926,0.278668
-20,12.893,0.261518
-20,12.9933,0.2446
-20,13.0936,0.228002
-20,13.194,0.211659
-20,13.2943,0.195642
-20,13.3946,0.179967
-20,13.495,0.164653
-20,13.5953,0.149664
-20,13.6957,0.135254
-20,13.796,0.121207
-20,13.8963,0.10752
-20,13.9967,0.0945873
-20,14.097,0.0820491
-20,14.1973,0.0703048
-20,14.2977,0.0592839
-20,14.398,0.0491568
-20,14.4983,0.0398372
-20,14.5987,0.0321038
-20,14.699,0.0248706
-20,14.7993,0.0192045
-20,14.8997,0.0147226
-20,15,0.0113404
-19.8997,-15,0.282556
-19.8997,-14.8997,0.261305
-19.8997,-14.7993,0.241393
-19.8997,-14.699,0.222955
-19.8997,-14.5987,0.206149
-19.8997,-14.4983,0.191049
-19.8997,-14.398,0.177757
-19.8997,-14.2977,0.16626
-19.8997,-14.1973,0.156548
-19.8997,-14.097,0.148567
-19.8997,-13.9967,0.142234
-19.8997,-13.8963,0.13745
-19.8997,-13.796,0.134093
-19.8997,-13.6957,0.132042
-19.8997,-13.5953,0.131121
-19.8997,-13.495,0.131171
-19.8997,-13.3946,0.132004
-19.8997,-13.2943,0.133427
-19.8997,-13.194,0.13524
-19.8997,-13.0936,0.137262
-19.8997,-12.9933,0.139319
-19.8997,-12.893,0.141278
-19.8997,-12.7926,0.143022
-19.8997,-12.6923,0.144455
-19.8997,-12.592,0.145519
-19.8997,-12.4916,0.146157
-19.8997,-12.3913,0.146314
-19.8997,-12.291,0.145951
-19.8997,-12.1906,0.145024
-19.8997,-12.0903,0.14348
-19.8997,-11.99,0.141274
-19.8997,-11.8896,0.13838
-19.8997,-11.7893,0.134774
-19.8997,-11.689,0.130457
-19.8997,-11.5886,0.125439
-19.8997,-11.4883,0.119762
-19.8997,-11.388,0.113468
-19.8997,-11.2876,0.106616
-19.8997,-11.1873,0.0992801
-19.8997,-11.087,0.091537
-19.8997,-10.9866,0.0834633
-19.8997,-10.8863,0.0751472
-19.8997,-10.786,0.0666848
-19.8997,-10.6856,0.0581839
-19.8997,-10.5853,0.049764
-19.8997,-10.4849,0.0427241
-19.8997,-10.3846,0.0345206
-19.8997,-10.2843,0.0253466
-19.8997,-10.1839,0.0181983
-19.8997,-10.0836,0.0145243
-19.8997,-9.98328,0.00977188
-19.8997,-9.88294,0.00757031
-19.8997,-9.78261,0.00499702
-19.8997,-9.68227,0.0055133
-19.8997,-9.58194,0.00749476
-19.8997,-9.48161,0.0119473
-19.8997,-9.38127,0.0181899
-19.8997,-9.28094,0.0269727
-19.8997,-9.1806,0.0376878
-19.8997,-9.08027,0.0508347
-19.8997,-8.97993,0.0657791
-19.8997,-8.8796,0.0826938
-19.8997,-8.77926,0.101228
-19.8997,-8.67893,0.121022
-19.8997,-8.5786,0.141586
-19.8997,-8.47826,0.162598
-19.8997,-8.37793,0.18366
-19.8997,-8.27759,0.203825
